blx,bly,trx,try
6,69,103,148
118,78,199,125
265,90,320,148
322,95,361,144
363,73,391,108
415,48,476,170
479,84,532,148
538,98,576,134
616,33,678,97
598,94,685,109
608,110,651,167
782,16,813,52
733,28,776,91
705,89,805,104
786,106,808,133
745,111,763,135
710,128,743,163
758,126,781,158
867,86,907,103
969,34,1018,84
958,84,1037,101
960,102,1017,167
1106,23,1156,88
1160,12,1194,58
1060,86,1220,111
1061,127,1095,165
1094,107,1125,145
1130,131,1171,174
1173,104,1198,147
1251,65,1287,122
1304,100,1320,120
1325,105,1336,122
1346,104,1361,124
1360,110,1373,124
1381,39,1433,208
